PokemonId	|	MoveId
2	|	Return
2	|	Frustration
2	|	Safeguard
2	|	Sweet-Scent
2	|	Synthesis
2	|	Hidden-Power
2	|	Sunny-Day
2	|	Rock-Smash
2	|	Facade
2	|	Nature-Power
2	|	Helping-Hand
2	|	Ingrain
2	|	Knock-Off
2	|	Secret-Power
2	|	Weather-Ball
2	|	Bullet-Seed
2	|	Magical-Leaf
2	|	Natural-Gift
2	|	Worry-Seed
2	|	Seed-Bomb
2	|	Energy-Ball
2	|	Leaf-Storm
2	|	Power-Whip
2	|	Captivate
2	|	Grass-Knot
2	|	Venoshock
2	|	Acid-Spray
2	|	Round
2	|	Echoed-Voice
2	|	Grass-Pledge
2	|	Work-Up
2	|	Grassy-Terrain
2	|	Confide
2	|	Grassy-Glide
2	|	Tera-Blast
2	|	Trailblaze
3	|	Swords-Dance
3	|	Cut
3	|	Bind
3	|	Vine-Whip
3	|	Headbutt
3	|	Tackle
3	|	Body-Slam
3	|	Take-Down
3	|	Double-Edge
3	|	Growl
3	|	Roar
3	|	Hyper-Beam
3	|	Strength
3	|	Mega-Drain
3	|	Leech-Seed
3	|	Growth
3	|	Razor-Leaf
3	|	Solar-Beam
3	|	Poison-Powder
3	|	Sleep-Powder
3	|	Petal-Dance
3	|	String-Shot
3	|	Earthquake
3	|	Toxic
3	|	Rage
3	|	Mimic
3	|	Double-Team
3	|	Defense-Curl
3	|	Light-Screen
3	|	Reflect
3	|	Bide
3	|	Amnesia
3	|	Flash
3	|	Rest
3	|	Substitute
3	|	Snore
3	|	Curse
3	|	Protect
3	|	Scary-Face
3	|	Sludge-Bomb
3	|	Mud-Slap
3	|	Outrage
3	|	Giga-Drain
3	|	Endure
3	|	Charm
3	|	False-Swipe
3	|	Swagger
3	|	Fury-Cutter
3	|	Attract
3	|	Sleep-Talk
3	|	Return
3	|	Frustration
3	|	Safeguard
3	|	Sweet-Scent
3	|	Synthesis
3	|	Hidden-Power
3	|	Sunny-Day
3	|	Rock-Smash
3	|	Facade
3	|	Nature-Power
3	|	Helping-Hand
3	|	Ingrain
3	|	Knock-Off
3	|	Secret-Power
3	|	Weather-Ball
3	|	Bullet-Seed
3	|	Block
3	|	Frenzy-Plant
3	|	Magical-Leaf
3	|	Natural-Gift
3	|	Worry-Seed
3	|	Poison-Jab
3	|	Seed-Bomb
3	|	Energy-Ball
3	|	Earth-Power
3	|	Giga-Impact
3	|	Rock-Climb
3	|	Leaf-Storm
3	|	Power-Whip
3	|	Captivate
3	|	Grass-Knot
3	|	Venoshock
3	|	Acid-Spray
3	|	Round
3	|	Echoed-Voice
3	|	Grass-Pledge
3	|	Bulldoze
3	|	Work-Up
3	|	Petal-Blizzard
3	|	Grassy-Terrain
3	|	Confide
3	|	Stomping-Tantrum
3	|	Grassy-Glide
3	|	Terrain-Pulse
3	|	Tera-Blast
3	|	Trailblaze
4	|	Mega-Punch
4	|	Fire-Punch
4	|	Thunder-Punch
4	|	Scratch
4	|	Swords-Dance
4	|	Cut
4	|	Wing-Attack
4	|	Mega-Kick
4	|	Headbutt
4	|	Body-Slam
4	|	Take-Down
4	|	Double-Edge
4	|	Leer
4	|	Bite
4	|	Growl
4	|	Roar
4	|	Ember
4	|	Flamethrower
4	|	Submission
4	|	Counter
4	|	Seismic-Toss
4	|	Strength
4	|	Dragon-Rage
4	|	Fire-Spin
4	|	Dig
4	|	Toxic
4	|	Rage
4	|	Mimic
4	|	Double-Team
4	|	Smokescreen
4	|	Defense-Curl
4	|	Reflect
4	|	Bide
4	|	Fire-Blast
4	|	Swift
4	|	Skull-Bash
4	|	Fury-Swipes
4	|	Rest
4	|	Rock-Slide
4	|	Slash
4	|	Substitute
4	|	Snore
4	|	Curse
4	|	Protect
4	|	Scary-Face
4	|	Belly-Drum
4	|	Mud-Slap
4	|	Outrage
4	|	Endure
4	|	False-Swipe
4	|	Swagger
4	|	Fury-Cutter
4	|	Attract
4	|	Sleep-Talk
4	|	Return
4	|	Frustration
4	|	Dynamic-Punch
4	|	Dragon-Breath
4	|	Iron-Tail
4	|	Metal-Claw
4	|	Hidden-Power
4	|	Sunny-Day
4	|	Crunch
4	|	Ancient-Power
4	|	Rock-Smash
4	|	Beat-Up
4	|	Heat-Wave
4	|	Will-O-Wisp
4	|	Facade
4	|	Focus-Punch
4	|	Helping-Hand
4	|	Brick-Break
4	|	Secret-Power
4	|	Weather-Ball
4	|	Air-Cutter
4	|	Overheat
4	|	Rock-Tomb
4	|	Aerial-Ace
4	|	Dragon-Claw
4	|	Dragon-Dance
4	|	Natural-Gift
4	|	Fling
4	|	Flare-Blitz
4	|	Dragon-Pulse
4	|	Dragon-Rush
4	|	Focus-Blast
4	|	Shadow-Claw
4	|	Fire-Fang
4	|	Captivate
4	|	Hone-Claws
4	|	Flame-Burst
4	|	Flame-Charge
4	|	Round
4	|	Echoed-Voice
4	|	Incinerate
4	|	Acrobatics
4	|	Inferno
4	|	Fire-Pledge
4	|	Dragon-Tail
4	|	Work-Up
4	|	Confide
4	|	Power-Up-Punch
4	|	Breaking-Swipe
4	|	Tera-Blast
4	|	Temper-Flare
5	|	Mega-Punch
5	|	Fire-Punch
5	|	Thunder-Punch
5	|	Scratch
5	|	Swords-Dance
5	|	Cut
5	|	Mega-Kick
5	|	Headbutt
5	|	Body-Slam
5	|	Take-Down
5	|	Double-Edge
5	|	Leer
5	|	Bite
5	|	Growl
5	|	Roar
5	|	Ember
5	|	Flamethrower
5	|	Submission
5	|	Counter
5	|	Seismic-Toss
5	|	Strength
5	|	Dragon-Rage
5	|	Fire-Spin
5	|	Dig
5	|	Toxic
5	|	Rage
5	|	Mimic
5	|	Double-Team
5	|	Smokescreen
5	|	Defense-Curl
5	|	Reflect
5	|	Bide
5	|	Fire-Blast
5	|	Swift
5	|	Skull-Bash
5	|	Fury-Swipes
5	|	Rest
5	|	Rock-Slide
5	|	Slash
5	|	Substitute
5	|	Snore
5	|	Curse
5	|	Protect
5	|	Scary-Face
5	|	Belly-Drum
5	|	Mud-Slap
5	|	Outrage
5	|	Endure
5	|	False-Swipe
5	|	Swagger
5	|	Fury-Cutter
5	|	Attract
5	|	Sleep-Talk
5	|	Return
5	|	Frustration
5	|	Dynamic-Punch
5	|	Dragon-Breath
5	|	Iron-Tail
5	|	Metal-Claw
5	|	Hidden-Power
5	|	Sunny-Day
5	|	Crunch
5	|	Ancient-Power
5	|	Rock-Smash
5	|	Beat-Up
5	|	Heat-Wave
5	|	Will-O-Wisp
5	|	Facade
5	|	Focus-Punch
5	|	Helping-Hand
5	|	Brick-Break
5	|	Secret-Power
5	|	Weather-Ball
5	|	Overheat
5	|	Rock-Tomb
5	|	Aerial-Ace
5	|	Dragon-Claw
5	|	Dragon-Dance
5	|	Natural-Gift
5	|	Fling
5	|	Flare-Blitz
5	|	Dragon-Pulse
5	|	Dragon-Rush
5	|	Focus-Blast
5	|	Shadow-Claw
5	|	Fire-Fang
5	|	Captivate
5	|	Hone-Claws
5	|	Flame-Burst
5	|	Flame-Charge
5	|	Round
5	|	Echoed-Voice
5	|	Incinerate
5	|	Acrobatics
5	|	Inferno
5	|	Fire-Pledge
5	|	Dragon-Tail
5	|	Work-Up
5	|	Confide
5	|	Power-Up-Punch
5	|	Breaking-Swipe
5	|	Tera-Blast
5	|	Temper-Flare
6	|	Mega-Punch
6	|	Fire-Punch
6	|	Thunder-Punch
6	|	Scratch
6	|	Swords-Dance
6	|	Cut
6	|	Wing-Attack
6	|	Fly
6	|	Mega-Kick
6	|	Headbutt
6	|	Body-Slam
6	|	Take-Down
6	|	Double-Edge
6	|	Leer
6	|	Bite
6	|	Growl
6	|	Roar
6	|	Ember
6	|	Flamethrower
6	|	Hyper-Beam
6	|	Submission
6	|	Counter
6	|	Seismic-Toss
6	|	Strength
6	|	Solar-Beam
6	|	Dragon-Rage
6	|	Fire-Spin
6	|	Earthquake
6	|	Fissure
6	|	Dig
6	|	Toxic
6	|	Rage
6	|	Mimic
6	|	Double-Team
6	|	Smokescreen
6	|	Defense-Curl
6	|	Reflect
6	|	Bide
6	|	Fire-Blast
6	|	Swift
6	|	Skull-Bash
6	|	Fury-Swipes
6	|	Rest
6	|	Rock-Slide
6	|	Slash
6	|	Substitute
6	|	Snore
6	|	Curse
6	|	Protect
6	|	Scary-Face
6	|	Belly-Drum
6	|	Mud-Slap
6	|	Outrage
6	|	Sandstorm
6	|	Endure
6	|	False-Swipe
6	|	Swagger
6	|	Fury-Cutter
6	|	Steel-Wing
6	|	Attract
6	|	Sleep-Talk
6	|	Return
6	|	Frustration
6	|	Dynamic-Punch
6	|	Dragon-Breath
6	|	Iron-Tail
6	|	Metal-Claw
6	|	Hidden-Power
6	|	Twister
6	|	Sunny-Day
6	|	Crunch
6	|	Ancient-Power
6	|	Rock-Smash
6	|	Beat-Up
6	|	Heat-Wave
6	|	Will-O-Wisp
6	|	Facade
6	|	Focus-Punch
6	|	Helping-Hand
6	|	Brick-Break
6	|	Secret-Power
6	|	Blaze-Kick
6	|	Blast-Burn
6	|	Weather-Ball
6	|	Air-Cutter
6	|	Overheat
6	|	Rock-Tomb
6	|	Aerial-Ace
6	|	Dragon-Claw
6	|	Dragon-Dance
6	|	Roost
6	|	Natural-Gift
6	|	Tailwind
6	|	Fling
6	|	Flare-Blitz
6	|	Air-Slash
6	|	Dragon-Pulse
6	|	Dragon-Rush
6	|	Focus-Blast
6	|	Giga-Impact
6	|	Shadow-Claw
6	|	Fire-Fang
6	|	Defog
6	|	Captivate
6	|	Ominous-Wind
6	|	Hone-Claws
6	|	Flame-Burst
6	|	Flame-Charge
6	|	Round
6	|	Echoed-Voice
6	|	Sky-Drop
6	|	Incinerate
6	|	Acrobatics
6	|	Inferno
6	|	Fire-Pledge
6	|	Bulldoze
6	|	Dragon-Tail
6	|	Work-Up
6	|	Heat-Crash
6	|	Hurricane
6	|	Confide
6	|	Mystical-Fire
6	|	Power-Up-Punch
6	|	Brutal-Swing
6	|	Breaking-Swipe
6	|	Scale-Shot
6	|	Dual-Wingbeat
6	|	Scorching-Sands
6	|	Tera-Blast
6	|	Dragon-Cheer
6	|	Temper-Flare
7	|	Mega-Punch
7	|	Ice-Punch
7	|	Mega-Kick
7	|	Headbutt
7	|	Tackle
7	|	Body-Slam
7	|	Take-Down
7	|	Double-Edge
7	|	Tail-Whip
7	|	Bite
7	|	Mist
7	|	Water-Gun
7	|	Hydro-Pump
7	|	Surf
7	|	Ice-Beam
7	|	Blizzard
7	|	Bubble-Beam
7	|	Submission
7	|	Counter
7	|	Seismic-Toss
7	|	Strength
7	|	Dig
7	|	Toxic
7	|	Confusion
7	|	Rage
7	|	Mimic
7	|	Double-Team
7	|	Withdraw
7	|	Defense-Curl
7	|	Haze
7	|	Reflect
7	|	Bide
7	|	Waterfall
7	|	Skull-Bash
7	|	Bubble
7	|	Rest
7	|	Rock-Slide
7	|	Substitute
7	|	Snore
7	|	Curse
7	|	Flail
7	|	Protect
7	|	Mud-Slap
7	|	Foresight
7	|	Icy-Wind
7	|	Outrage
7	|	Endure
7	|	Rollout
7	|	False-Swipe
7	|	Swagger
7	|	Attract
7	|	Sleep-Talk
7	|	Return
7	|	Frustration
7	|	Dynamic-Punch
7	|	Rapid-Spin
7	|	Iron-Tail
7	|	Hidden-Power
7	|	Rain-Dance
7	|	Mirror-Coat
7	|	Rock-Smash
7	|	Whirlpool
7	|	Fake-Out
7	|	Hail
7	|	Facade
7	|	Focus-Punch
7	|	Follow-Me
7	|	Helping-Hand
7	|	Brick-Break
7	|	Yawn
7	|	Refresh
7	|	Secret-Power
7	|	Dive
7	|	Mud-Sport
7	|	Weather-Ball
7	|	Rock-Tomb
7	|	Water-Spout
7	|	Muddy-Water
7	|	Iron-Defense
7	|	Mud-Shot
7	|	Water-Pulse
7	|	Gyro-Ball
7	|	Brine
7	|	Natural-Gift
7	|	Fling
7	|	Aqua-Ring
7	|	Aura-Sphere
7	|	Aqua-Tail
7	|	Dragon-Pulse
7	|	Zen-Headbutt
7	|	Captivate
7	|	Aqua-Jet
7	|	Round
7	|	Scald
7	|	Shell-Smash
7	|	Water-Pledge
7	|	Work-Up
7	|	Confide
7	|	Power-Up-Punch
7	|	Liquidation
7	|	Life-Dew
7	|	Flip-Turn
7	|	Wave-Crash
7	|	Tera-Blast
7	|	Ice-Spinner
7	|	Chilling-Water
8	|	Mega-Punch
8	|	Ice-Punch
8	|	Mega-Kick
8	|	Headbutt
8	|	Tackle
8	|	Body-Slam
8	|	Take-Down
8	|	Double-Edge
8	|	Tail-Whip
8	|	Bite
8	|	Mist
8	|	Water-Gun
8	|	Hydro-Pump
8	|	Surf
8	|	Ice-Beam
8	|	Blizzard
8	|	Bubble-Beam
8	|	Submission
8	|	Counter
8	|	Seismic-Toss
8	|	Strength
8	|	Dig
8	|	Toxic
8	|	Rage
8	|	Mimic
8	|	Double-Team
8	|	Withdraw
8	|	Defense-Curl
8	|	Haze
8	|	Reflect
8	|	Bide
8	|	Waterfall
8	|	Skull-Bash
8	|	Bubble
8	|	Rest
8	|	Rock-Slide
8	|	Substitute
8	|	Snore
8	|	Curse
8	|	Flail
8	|	Protect
8	|	Mud-Slap
8	|	Icy-Wind
8	|	Outrage
8	|	Endure
8	|	Rollout
8	|	False-Swipe
8	|	Swagger
8	|	Attract
8	|	Sleep-Talk
8	|	Return
8	|	Frustration
8	|	Dynamic-Punch
8	|	Rapid-Spin
8	|	Iron-Tail
8	|	Hidden-Power
8	|	Rain-Dance
8	|	Mirror-Coat
8	|	Rock-Smash
8	|	Whirlpool
8	|	Fake-Out
8	|	Hail
8	|	Facade
8	|	Focus-Punch
8	|	Helping-Hand
8	|	Brick-Break
8	|	Yawn
8	|	Secret-Power
8	|	Dive
8	|	Weather-Ball
8	|	Rock-Tomb
8	|	Water-Spout
8	|	Muddy-Water
8	|	Iron-Defense
8	|	Mud-Shot
8	|	Water-Pulse
8	|	Gyro-Ball
8	|	Brine
8	|	Natural-Gift
8	|	Fling
8	|	Aqua-Ring
8	|	Aura-Sphere
8	|	Aqua-Tail
8	|	Dragon-Pulse
8	|	Zen-Headbutt
8	|	Captivate
8	|	Aqua-Jet
8	|	Round
8	|	Scald
8	|	Shell-Smash
8	|	Water-Pledge
8	|	Work-Up
8	|	Confide
8	|	Power-Up-Punch
8	|	Liquidation
8	|	Life-Dew
8	|	Flip-Turn
8	|	Wave-Crash
8	|	Tera-Blast
8	|	Ice-Spinner
8	|	Chilling-Water
9	|	Mega-Punch
9	|	Ice-Punch
9	|	Mega-Kick
9	|	Headbutt
9	|	Tackle
9	|	Body-Slam
9	|	Take-Down
9	|	Double-Edge
9	|	Tail-Whip
9	|	Bite
9	|	Roar
9	|	Mist
9	|	Water-Gun
9	|	Hydro-Pump
9	|	Surf
9	|	Ice-Beam
9	|	Blizzard
9	|	Bubble-Beam
9	|	Hyper-Beam
9	|	Submission
9	|	Counter
9	|	Seismic-Toss
9	|	Strength
9	|	Earthquake
9	|	Fissure
9	|	Dig
9	|	Toxic
9	|	Rage
9	|	Mimic
9	|	Double-Team
9	|	Withdraw
9	|	Defense-Curl
9	|	Haze
9	|	Reflect
9	|	Bide
9	|	Waterfall
9	|	Skull-Bash
9	|	Bubble
9	|	Rest
9	|	Rock-Slide
9	|	Substitute
9	|	Snore
9	|	Curse
9	|	Flail
9	|	Protect
9	|	Scary-Face
9	|	Mud-Slap
9	|	Icy-Wind
9	|	Outrage
9	|	Endure
9	|	Rollout
9	|	False-Swipe
9	|	Swagger
9	|	Attract
9	|	Sleep-Talk
9	|	Return
9	|	Frustration
9	|	Dynamic-Punch
9	|	Rapid-Spin
9	|	Iron-Tail
9	|	Hidden-Power
9	|	Rain-Dance
9	|	Crunch
9	|	Mirror-Coat
9	|	Rock-Smash
9	|	Whirlpool
9	|	Fake-Out
9	|	Hail
9	|	Facade
9	|	Focus-Punch
9	|	Helping-Hand
9	|	Brick-Break
9	|	Yawn
9	|	Secret-Power
9	|	Dive
9	|	Hydro-Cannon
9	|	Weather-Ball
9	|	Rock-Tomb
9	|	Water-Spout
9	|	Signal-Beam
9	|	Muddy-Water
9	|	Iron-Defense
9	|	Mud-Shot
9	|	Water-Pulse
9	|	Gyro-Ball
9	|	Brine
9	|	Natural-Gift
9	|	Fling
9	|	Aqua-Ring
9	|	Aura-Sphere
9	|	Dark-Pulse
9	|	Aqua-Tail
9	|	Dragon-Pulse
9	|	Focus-Blast
9	|	Giga-Impact
9	|	Avalanche
9	|	Zen-Headbutt
9	|	Flash-Cannon
9	|	Rock-Climb
9	|	Captivate
9	|	Aqua-Jet
9	|	Smack-Down
9	|	Round
9	|	Scald
9	|	Shell-Smash
9	|	Water-Pledge
9	|	Bulldoze
9	|	Dragon-Tail
9	|	Work-Up
9	|	Confide
9	|	Power-Up-Punch
9	|	Liquidation
9	|	Body-Press
9	|	Life-Dew
9	|	Terrain-Pulse
9	|	Flip-Turn
9	|	Wave-Crash
9	|	Tera-Blast
9	|	Ice-Spinner
9	|	Chilling-Water
10	|	Tackle
10	|	String-Shot
10	|	Snore
10	|	Bug-Bite
10	|	Electroweb
11	|	String-Shot
11	|	Harden
11	|	Iron-Defense
11	|	Bug-Bite
11	|	Electroweb
12	|	Razor-Wind
12	|	Gust
12	|	Whirlwind
12	|	Headbutt
12	|	Tackle
12	|	Take-Down
12	|	Double-Edge
12	|	Supersonic
12	|	Psybeam
12	|	Hyper-Beam
12	|	Mega-Drain
12	|	Solar-Beam
12	|	Poison-Powder
12	|	Stun-Spore
12	|	Sleep-Powder
12	|	String-Shot
12	|	Toxic
12	|	Confusion
12	|	Psychic
12	|	Rage
12	|	Teleport
12	|	Mimic
12	|	Double-Team
12	|	Harden
12	|	Reflect
12	|	Bide
12	|	Swift
12	|	Dream-Eater
12	|	Flash
12	|	Psywave
12	|	Rest
12	|	Substitute
12	|	Thief
12	|	Nightmare
12	|	Snore
12	|	Curse
12	|	Protect
12	|	Giga-Drain
12	|	Endure
12	|	Swagger
12	|	Attract
12	|	Sleep-Talk
12	|	Return
12	|	Frustration
12	|	Safeguard
12	|	Baton-Pass
12	|	Sweet-Scent
12	|	Hidden-Power
12	|	Twister
12	|	Rain-Dance
12	|	Sunny-Day
12	|	Psych-Up
12	|	Shadow-Ball
12	|	Facade
12	|	Skill-Swap
12	|	Secret-Power
12	|	Air-Cutter
12	|	Silver-Wind
12	|	Signal-Beam
12	|	Aerial-Ace
12	|	Iron-Defense
12	|	Roost
12	|	Natural-Gift
12	|	Tailwind
12	|	U-Turn
12	|	Air-Slash
12	|	Bug-Buzz
12	|	Energy-Ball
12	|	Giga-Impact
12	|	Defog
12	|	Captivate
12	|	Bug-Bite
12	|	Ominous-Wind
12	|	Venoshock
12	|	Rage-Powder
12	|	Quiver-Dance
12	|	Round
12	|	Acrobatics
12	|	Struggle-Bug
12	|	Electroweb
12	|	Hurricane
12	|	Draining-Kiss
12	|	Confide
12	|	Infestation
12	|	Pollen-Puff
12	|	Dual-Wingbeat
13	|	Poison-Sting
13	|	String-Shot
13	|	Bug-Bite
13	|	Electroweb
14	|	String-Shot
14	|	Harden
14	|	Iron-Defense
14	|	Bug-Bite
14	|	Electroweb
15	|	Swords-Dance
15	|	Cut
15	|	Headbutt
15	|	Fury-Attack
15	|	Take-Down
15	|	Double-Edge
15	|	Poison-Sting
15	|	Twineedle
15	|	Pin-Missile
15	|	Hyper-Beam
15	|	Peck
15	|	Mega-Drain
15	|	Solar-Beam
15	|	String-Shot
15	|	Toxic
15	|	Agility
15	|	Rage
15	|	Mimic
15	|	Double-Team
15	|	Harden
15	|	Reflect
15	|	Focus-Energy
15	|	Bide
15	|	Swift
15	|	Skull-Bash
15	|	Flash
15	|	Rest
15	|	Substitute
15	|	Thief
15	|	Snore
15	|	Curse
15	|	Protect
15	|	Sludge-Bomb
15	|	Outrage
15	|	Giga-Drain
15	|	Endure
15	|	False-Swipe
15	|	Swagger
15	|	Fury-Cutter
15	|	Attract
15	|	Sleep-Talk
15	|	Return
15	|	Frustration
15	|	Pursuit
15	|	Sweet-Scent
15	|	Hidden-Power
15	|	Sunny-Day
15	|	Rock-Smash
15	|	Facade
15	|	Brick-Break
15	|	Knock-Off
15	|	Endeavor
15	|	Secret-Power
15	|	Air-Cutter
15	|	Silver-Wind
15	|	Aerial-Ace
15	|	Roost
15	|	Natural-Gift
15	|	Tailwind
15	|	U-Turn
15	|	Payback
15	|	Assurance
15	|	Toxic-Spikes
15	|	Poison-Jab
15	|	X-Scissor
15	|	Giga-Impact
15	|	Defog
15	|	Captivate
15	|	Bug-Bite
15	|	Ominous-Wind
15	|	Venoshock
15	|	Round
15	|	Acrobatics
15	|	Struggle-Bug
15	|	Electroweb
15	|	Drill-Run
15	|	Fell-Stinger
15	|	Confide
15	|	Infestation
15	|	Laser-Focus
15	|	Throat-Chop
15	|	Brutal-Swing
16	|	Razor-Wind
16	|	Gust
16	|	Wing-Attack
16	|	Whirlwind
16	|	Fly
16	|	Sand-Attack
16	|	Headbutt
16	|	Tackle
16	|	Take-Down
16	|	Double-Edge
16	|	Toxic
16	|	Agility
16	|	Quick-Attack
16	|	Rage
16	|	Mimic
16	|	Double-Team
16	|	Reflect
16	|	Bide
16	|	Mirror-Move
16	|	Swift
16	|	Sky-Attack
16	|	Rest
16	|	Substitute
16	|	Thief
16	|	Snore
16	|	Curse
16	|	Protect
16	|	Feint-Attack
16	|	Mud-Slap
16	|	Foresight
16	|	Detect
16	|	Endure
16	|	Swagger
16	|	Steel-Wing
16	|	Attract
16	|	Sleep-Talk
16	|	Return
16	|	Frustration
16	|	Pursuit
16	|	Hidden-Power
16	|	Twister
16	|	Rain-Dance
16	|	Sunny-Day
16	|	Uproar
16	|	Heat-Wave
16	|	Facade
16	|	Secret-Power
16	|	Feather-Dance
16	|	Air-Cutter
16	|	Aerial-Ace
16	|	Roost
16	|	Natural-Gift
16	|	Pluck
16	|	Tailwind
16	|	U-Turn
16	|	Air-Slash
16	|	Brave-Bird
16	|	Defog
16	|	Captivate
16	|	Ominous-Wind
16	|	Round
16	|	Work-Up
16	|	Hurricane
16	|	Confide
17	|	Razor-Wind
17	|	Gust
17	|	Wing-Attack
17	|	Whirlwind
17	|	Fly
17	|	Sand-Attack
17	|	Headbutt
17	|	Tackle
17	|	Take-Down
17	|	Double-Edge
17	|	Toxic
17	|	Agility
17	|	Quick-Attack
17	|	Rage
17	|	Mimic
17	|	Double-Team
17	|	Reflect
17	|	Bide
17	|	Mirror-Move
17	|	Swift
17	|	Sky-Attack
17	|	Rest
17	|	Substitute
17	|	Thief
17	|	Snore
17	|	Curse
17	|	Protect
17	|	Mud-Slap
17	|	Detect
17	|	Endure
17	|	Swagger
17	|	Steel-Wing
17	|	Attract
17	|	Sleep-Talk
17	|	Return
17	|	Frustration
17	|	Hidden-Power
17	|	Twister
17	|	Rain-Dance
17	|	Sunny-Day
17	|	Uproar
17	|	Heat-Wave
17	|	Facade
17	|	Secret-Power
17	|	Feather-Dance
17	|	Air-Cutter
17	|	Aerial-Ace
17	|	Roost
17	|	Natural-Gift
17	|	Pluck
17	|	Tailwind
17	|	U-Turn
17	|	Air-Slash
17	|	Defog
17	|	Captivate
17	|	Ominous-Wind
17	|	Round
17	|	Work-Up
17	|	Hurricane
17	|	Confide
18	|	Razor-Wind
18	|	Gust
18	|	Wing-Attack
18	|	Whirlwind
18	|	Fly
18	|	Sand-Attack
18	|	Headbutt
18	|	Tackle
18	|	Take-Down
18	|	Double-Edge
18	|	Hyper-Beam
18	|	Toxic
18	|	Agility
18	|	Quick-Attack
18	|	Rage
18	|	Mimic
18	|	Double-Team
18	|	Reflect
18	|	Bide
18	|	Mirror-Move
18	|	Swift
18	|	Sky-Attack
18	|	Rest
18	|	Substitute
18	|	Thief
18	|	Snore
18	|	Curse
18	|	Protect
18	|	Mud-Slap
18	|	Detect
18	|	Endure
18	|	Swagger
18	|	Steel-Wing
18	|	Attract
18	|	Sleep-Talk
18	|	Return
18	|	Frustration
18	|	Hidden-Power
18	|	Twister
18	|	Rain-Dance
18	|	Sunny-Day
18	|	Uproar
18	|	Heat-Wave
18	|	Facade
18	|	Secret-Power
18	|	Feather-Dance
18	|	Air-Cutter
18	|	Aerial-Ace
18	|	Roost
18	|	Natural-Gift
18	|	Pluck
18	|	Tailwind
18	|	U-Turn
18	|	Air-Slash
18	|	Giga-Impact
18	|	Defog
18	|	Captivate
18	|	Ominous-Wind
18	|	Round
18	|	Work-Up
18	|	Hurricane
18	|	Confide
18	|	Laser-Focus
19	|	Cut
19	|	Headbutt
19	|	Tackle
19	|	Body-Slam
19	|	Take-Down
19	|	Double-Edge
19	|	Tail-Whip
19	|	Bite
19	|	Water-Gun
19	|	Ice-Beam
19	|	Blizzard
19	|	Bubble-Beam
19	|	Counter
19	|	Thunderbolt
19	|	Thunder-Wave
19	|	Thunder
19	|	Dig
19	|	Toxic
19	|	Quick-Attack
19	|	Rage
19	|	Mimic
19	|	Screech
19	|	Double-Team
19	|	Defense-Curl
