Id	|	Name	|	Description	|	Power	|	Accuracy	|	PP	|	TypeId
28	|	Sand-Attack	|	Lowers the target's accuracy by one stage.	|		|	100	|	15	|	5
29	|	Headbutt	|	Inflicts regular damage.  Has a 30% chance to make the target flinch.	|	70	|	100	|	15	|	1
30	|	Horn-Attack	|	Inflicts regular damage.	|	65	|	100	|	25	|	1
31	|	Fury-Attack	|	Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.	|	15	|	85	|	20	|	1
32	|	Horn-Drill	|	Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.  Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.  The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.	|		|	30	|	5	|	1
33	|	Tackle	|	Inflicts regular damage.	|	40	|	100	|	35	|	1
34	|	Body-Slam	|	Inflicts regular damage.  Has a 30% chance to paralyze the target.	|	85	|	100	|	15	|	1
35	|	Wrap	|	Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.	|	15	|	90	|	20	|	1
36	|	Take-Down	|	Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.	|	90	|	85	|	20	|	1
37	|	Thrash	|	Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.  safeguard does not protect against the confusion from this move.	|	120	|	100	|	10	|	1
38	|	Double-Edge	|	Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.	|	120	|	100	|	15	|	1
39	|	Tail-Whip	|	Lowers the target's Defense by one stage.	|		|	100	|	30	|	1
40	|	Poison-Sting	|	Inflicts regular damage.  Has a 30% chance to poison the target.	|	15	|	100	|	35	|	4
41	|	Twineedle	|	Inflicts regular damage.  Hits twice in the same turn.  Has a 20% chance to poison the target.	|	25	|	100	|	20	|	7
42	|	Pin-Missile	|	Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.	|	25	|	95	|	20	|	7
43	|	Leer	|	Lowers the target's Defense by one stage.	|		|	100	|	30	|	1
44	|	Bite	|	Inflicts regular damage.  Has a 30% chance to make the target flinch.	|	60	|	100	|	25	|	17
45	|	Growl	|	Lowers the target's Attack by one stage.	|		|	100	|	40	|	1
46	|	Roar	|	Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.  Doesn't affect Pokémon with suction cups or under the effect of ingrain.	|		|		|	20	|	1
47	|	Sing	|	Puts the target to sleep.	|		|	55	|	15	|	1
48	|	Supersonic	|	Confuses the target.	|		|	55	|	20	|	1
49	|	Sonic-Boom	|	Inflicts exactly 20 damage.	|		|	90	|	20	|	1
50	|	Disable	|	Disables the target's last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the field.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed,  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail.	|		|	100	|	20	|	1
51	|	Acid	|	Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.	|	40	|	100	|	30	|	4
52	|	Ember	|	Inflicts regular damage.  Has a 10% chance to burn the target.	|	40	|	100	|	25	|	10
53	|	Flamethrower	|	Inflicts regular damage.  Has a 10% chance to burn the target.	|	90	|	100	|	15	|	10
54	|	Mist	|	Pokémon on the user's side of the field are immune to stat-lowering effects for five turns.  guard swap, heart swap, and power swap may still be used.  defog used by an opponent will end this effect.	|		|		|	30	|	15
55	|	Water-Gun	|	Inflicts regular damage.	|	40	|	100	|	25	|	11
56	|	Hydro-Pump	|	Inflicts regular damage.	|	110	|	80	|	5	|	11
57	|	Surf	|	Inflicts regular damage.  If the target is in the first turn of dive, this move will hit with double power.	|	90	|	100	|	15	|	11
58	|	Ice-Beam	|	Inflicts regular damage.  Has a 10% chance to freeze the target.	|	90	|	100	|	10	|	15
59	|	Blizzard	|	Inflicts regular damage.  Has a 10% chance to freeze the target.  During hail, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.	|	110	|	70	|	5	|	15
60	|	Psybeam	|	Inflicts regular damage.  Has a 10% chance to confuse the target.	|	65	|	100	|	20	|	14
61	|	Bubble-Beam	|	Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.	|	65	|	100	|	20	|	11
62	|	Aurora-Beam	|	Inflicts regular damage.  Has a 10% chance to lower the target's Attack by one stage.	|	65	|	100	|	20	|	15
63	|	Hyper-Beam	|	Inflicts regular damage.  User loses its next turn to "recharge", and cannot attack or switch out during that turn.	|	150	|	90	|	5	|	1
64	|	Peck	|	Inflicts regular damage.	|	35	|	100	|	35	|	3
65	|	Drill-Peck	|	Inflicts regular damage.	|	80	|	100	|	20	|	3
66	|	Submission	|	Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.	|	80	|	80	|	20	|	2
67	|	Low-Kick	|	Inflicts regular damage.  Power increases with the target's weight in kilograms, to a maximum of 120.  Target's weight / Power --------------- / ----: Up to 10kg      /    20 Up to 25kg      /    40 Up to 50kg      /    60 Up to 100kg     /    80 Up to 200kg     /   100 Above 200kg     /   120 	|		|	100	|	20	|	2
68	|	Counter	|	Targets the last opposing Pokémon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.  This move cannot be copied by mirror move, nor selected by assist or metronome.	|		|	100	|	20	|	2
69	|	Seismic-Toss	|	Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored.	|		|	100	|	20	|	2
70	|	Strength	|	Inflicts regular damage.	|	80	|	100	|	15	|	1
71	|	Absorb	|	Inflicts regular damage.  Drains half the damage inflicted to heal the user.	|	20	|	100	|	25	|	12
72	|	Mega-Drain	|	Inflicts regular damage.  Drains half the damage inflicted to heal the user.	|	40	|	100	|	15	|	12
73	|	Leech-Seed	|	Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.  The user takes damage instead of being healed if the target has liquid ooze.  rapid spin will remove this effect.  This effect is passed on by baton pass.	|		|	90	|	10	|	12
74	|	Growth	|	Raises the user's Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages.	|		|		|	20	|	1
75	|	Razor-Leaf	|	Inflicts regular damage.  User's critical hit rate is one level higher when using this move.	|	55	|	95	|	25	|	12
76	|	Solar-Beam	|	Inflicts regular damage.  User charges for one turn before attacking.  During sunny day, the charge turn is skipped.  During hail, rain dance, or sandstorm, power is halved.  This move cannot be selected by sleep talk.	|	120	|	100	|	10	|	12
77	|	Poison-Powder	|	Poisons the target.	|		|	75	|	35	|	4
78	|	Stun-Spore	|	Paralyzes the target.	|		|	75	|	30	|	12
79	|	Sleep-Powder	|	Puts the target to sleep.	|		|	75	|	15	|	12
80	|	Petal-Dance	|	Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.  safeguard does not protect against the confusion from this move.	|	120	|	100	|	10	|	12
81	|	String-Shot	|	Lowers the target's Speed by two stages.	|		|	95	|	40	|	7
82	|	Dragon-Rage	|	Inflicts exactly 40 damage.	|		|	100	|	10	|	16
83	|	Fire-Spin	|	Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.	|	35	|	85	|	15	|	10
84	|	Thunder-Shock	|	Inflicts regular damage.  Has a 10% chance to paralyze the target.	|	40	|	100	|	30	|	13
85	|	Thunderbolt	|	Inflicts regular damage.  Has a 10% chance to paralyze the target.	|	90	|	100	|	15	|	13
86	|	Thunder-Wave	|	Paralyzes the target.	|		|	90	|	20	|	13
87	|	Thunder	|	Inflicts regular damage.  Has a 30% chance to paralyze the target.  During rain dance, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.  During sunny day, this move has 50% accuracy.	|	110	|	70	|	10	|	13
88	|	Rock-Throw	|	Inflicts regular damage.	|	50	|	90	|	15	|	6
89	|	Earthquake	|	Inflicts regular damage.  If the target is in the first turn of dig, this move will hit with double power.	|	100	|	100	|	10	|	5
90	|	Fissure	|	Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.  Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.  The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.	|		|	30	|	5	|	5
91	|	Dig	|	Inflicts regular damage.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.  During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate.  The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.  This move cannot be selected by sleep talk.	|	80	|	100	|	10	|	5
92	|	Toxic	|	Badly poisons the target.  Never misses when used by a poison-type Pokémon.	|		|	90	|	10	|	4
93	|	Confusion	|	Inflicts regular damage.  Has a 10% chance to confuse the target.	|	50	|	100	|	25	|	14
94	|	Psychic	|	Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.	|	90	|	100	|	10	|	14
95	|	Hypnosis	|	Puts the target to sleep.	|		|	60	|	20	|	14
96	|	Meditate	|	Raises the user's Attack by one stage.	|		|		|	40	|	14
97	|	Agility	|	Raises the user's Speed by two stages.	|		|		|	30	|	14
98	|	Quick-Attack	|	Inflicts regular damage.	|	40	|	100	|	30	|	1
99	|	Rage	|	Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage.	|	20	|	100	|	20	|	1
100	|	Teleport	|	Does nothing.  Wild battles end immediately.	|		|		|	20	|	14
101	|	Night-Shade	|	Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored.	|		|	100	|	15	|	8
102	|	Mimic	|	This move is replaced by the target's last successfully used move, and its PP changes to 5.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.  If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail.  This move cannot be copied by mirror move, nor selected by assist or metronome, nor forced by encore.	|		|		|	10	|	1
103	|	Screech	|	Lowers the target's Defense by two stages.	|		|	85	|	40	|	1
104	|	Double-Team	|	Raises the user's evasion by one stage.	|		|		|	15	|	1
105	|	Recover	|	Heals the user for half its max HP.	|		|		|	5	|	1
106	|	Harden	|	Raises the user's Defense by one stage.	|		|		|	30	|	1
107	|	Minimize	|	Raises the user's evasion by two stages.  stomp and steamroller have double power against Pokémon that have used this move since entering the field.	|		|		|	10	|	1
108	|	Smokescreen	|	Lowers the target's accuracy by one stage.	|		|	100	|	20	|	1
109	|	Confuse-Ray	|	Confuses the target.	|		|	100	|	10	|	8
110	|	Withdraw	|	Raises the user's Defense by one stage.	|		|		|	40	|	11
111	|	Defense-Curl	|	Raises user's Defense by one stage.  After this move is used, the power of ice ball and rollout are doubled until the user leaves the field.	|		|		|	40	|	1
112	|	Barrier	|	Raises the user's Defense by two stages.	|		|		|	20	|	14
113	|	Light-Screen	|	Erects a barrier around the user's side of the field that reduces damage from special attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.  If the user is holding light clay, the barrier lasts for eight turns.  brick break or defog used by an opponent will destroy the barrier.	|		|		|	30	|	14
114	|	Haze	|	Removes stat, accuracy, and evasion modifiers from every Pokémon on the field.  This does not count as a stat reduction for the purposes of clear body or white smoke.	|		|		|	30	|	15
115	|	Reflect	|	Erects a barrier around the user's side of the field that reduces damage from physical attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.  If the user is holding light clay, the barrier lasts for eight turns.  brick break or defog used by an opponent will destroy the barrier.	|		|		|	20	|	14
116	|	Focus-Energy	|	User's critical hit rate is two levels higher until it leaves the field.  If the user has already used focus energy since entering the field, this move will fail.  This effect is passed on by baton pass.	|		|		|	30	|	1
117	|	Bide	|	User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is typeless.  This move cannot be selected by sleep talk.	|		|		|	10	|	1
118	|	Metronome	|	Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist, meta, protection, and reflection moves are also not eligible; specifically, assist, chatter, copycat, counter, covet, destiny bond, detect, endure, feint, focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, protect, quick guard, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, and wide guard will not be selected by this move.  This move cannot be copied by mimic or mirror move, nor selected by assist, metronome, or sleep talk.	|		|		|	10	|	1
119	|	Mirror-Move	|	Uses the last move targeted at the user by a Pokémon still on the field.  A move counts as targeting the user even if it hit multiple Pokémon, as long as the user was one of them; however, moves targeting the field itself do not count.  If the user has not been targeted by an appropriate move since entering the field, or if no Pokémon that targeted the user remains on the field, this move will fail.  Moves that failed, missed, had no effect, or were blocked are still copied.  Assist moves, time-delayed moves, “meta” moves that operate on other moves/Pokémon/abilities, and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move, the previous move will be used instead.  The full list of ignored moves is: acid armor, acupressure, after you, agility, ally switch, amnesia, aqua ring, aromatherapy, aromatic mist, assist, autotomize, barrier, baton pass, belch, belly drum, bide, bulk up, calm mind, camouflage, celebrate, charge, coil, conversion, conversion 2, copycat, cosmic power, cotton guard, counter, crafty shield, curse, defend order, defense curl, destiny bond, detect, doom desire, double team, dragon dance, electric terrain, endure, final gambit, flower shield, focus energy, focus punch, follow me, future sight, geomancy, grassy terrain, gravity, growth, grudge, guard split, hail, happy hour, harden, haze, heal bell, heal order, heal pulse, healing wish, helping hand, hold hands, hone claws, howl, imprison, ingrain, ion deluge, iron defense, kings shield, light screen, lucky chant, lunar dance, magic coat, magnet rise, magnetic flux, mat block, me first, meditate, metronome, milk drink, mimic, minimize, mirror coat, mirror move, mist, misty terrain, moonlight, morning sun, mud sport, nasty plot, nature power, perish song, power split, power trick, protect, psych up, quick guard, quiver dance, rage powder, rain dance, recover, recycle, reflect, reflect type, refresh, rest, rock polish, role play, roost, rototiller, safeguard, sandstorm, shadow blast, shadow bolt, shadow half, shadow rush, shadow shed, shadow sky, shadow storm, shadow wave, sharpen, shell smash, shift gear, sketch, slack off, sleep talk, snatch, soft boiled, spikes, spiky shield, spit up, splash, stealth rock, sticky web, stockpile, struggle, substitute, sunny day, swallow, swords dance, synthesis, tail glow, tailwind, teleport, toxic spikes, transform, water sport, wide guard, wish, withdraw and work up.  This move cannot be selected by assist, metronome, or sleep talk, nor forced by encore.	|		|		|	20	|	3
120	|	Self-Destruct	|	User faints, even if the attack fails or misses.  Inflicts regular damage.	|	200	|	100	|	5	|	1
121	|	Egg-Bomb	|	Inflicts regular damage.	|	100	|	75	|	10	|	1
122	|	Lick	|	Inflicts regular damage.  Has a 30% chance to paralyze the target.	|	30	|	100	|	30	|	8
123	|	Smog	|	Inflicts regular damage.  Has a 40% chance to poison the target.	|	30	|	70	|	20	|	4
124	|	Sludge	|	Inflicts regular damage.  Has a 30% chance to poison the target.	|	65	|	100	|	20	|	4
125	|	Bone-Club	|	Inflicts regular damage.  Has a 10% chance to make the target flinch.	|	65	|	85	|	20	|	5
126	|	Fire-Blast	|	Inflicts regular damage.  Has a 10% chance to burn the target.	|	110	|	85	|	5	|	10
127	|	Waterfall	|	Inflicts regular damage.  Has a 20% chance to make the target flinch.	|	80	|	100	|	15	|	11
128	|	Clamp	|	Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.	|	35	|	85	|	15	|	11
129	|	Swift	|	Inflicts regular damage.  Ignores accuracy and evasion modifiers.	|	60	|		|	20	|	1
130	|	Skull-Bash	|	Inflicts regular damage.  Raises the user's Defense by one stage.  User then charges for one turn before attacking.  This move cannot be selected by sleep talk.	|	130	|	100	|	10	|	1
131	|	Spike-Cannon	|	Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.	|	20	|	100	|	15	|	1
132	|	Constrict	|	Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.	|	10	|	100	|	35	|	1
133	|	Amnesia	|	Raises the user's Special Defense by two stages.	|		|		|	20	|	14
134	|	Kinesis	|	Lowers the target's accuracy by one stage.	|		|	80	|	15	|	14
135	|	Soft-Boiled	|	Heals the user for half its max HP.	|		|		|	5	|	1
136	|	High-Jump-Kick	|	Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.  This move cannot be used while gravity is in effect.	|	130	|	90	|	10	|	2
137	|	Glare	|	Paralyzes the target.	|		|	100	|	30	|	1
138	|	Dream-Eater	|	Fails if not used on a sleeping Pokémon.  Inflicts regular damage.  Drains half the damage inflicted to heal the user.	|	100	|	100	|	15	|	14
139	|	Poison-Gas	|	Poisons the target.	|		|	90	|	40	|	4
140	|	Barrage	|	Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.	|	15	|	85	|	20	|	1
141	|	Leech-Life	|	Inflicts regular damage.  Drains half the damage inflicted to heal the user.	|	80	|	100	|	10	|	7
142	|	Lovely-Kiss	|	Puts the target to sleep.	|		|	75	|	10	|	1
143	|	Sky-Attack	|	Inflicts regular damage.  User charges for one turn before attacking.  Critical hit chance is one level higher than normal.  Has a 30% chance to make the target flinch.  This move cannot be selected by sleep talk.	|	140	|	90	|	5	|	3
144	|	Transform	|	User copies the target's species, weight, type, ability, calculated stats (except HP), and moves.  Copied moves will all have 5 PP remaining.  IVs are copied for the purposes of hidden power, but stats are not recalculated.  choice band, choice scarf, and choice specs stay in effect, and the user must select a new move.  This move cannot be copied by mirror move, nor forced by encore.	|		|		|	10	|	1
145	|	Bubble	|	Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.	|	40	|	100	|	30	|	11
146	|	Dizzy-Punch	|	Inflicts regular damage.  Has a 20% chance to confuse the target.	|	70	|	100	|	10	|	1
147	|	Spore	|	Puts the target to sleep.	|		|	100	|	15	|	12
148	|	Flash	|	Lowers the target's accuracy by one stage.	|		|	100	|	20	|	1
149	|	Psywave	|	Inflicts typeless damage between 50% and 150% of the user's level, selected at random in increments of 10%.	|		|	100	|	15	|	14
150	|	Splash	|	Does nothing.  This move cannot be used while gravity is in effect.	|		|		|	40	|	1
151	|	Acid-Armor	|	Raises the user's Defense by two stages.	|		|		|	20	|	4
152	|	Crabhammer	|	Inflicts regular damage.  User's critical hit rate is one level higher when using this move.	|	100	|	90	|	10	|	11
153	|	Explosion	|	User faints, even if the attack fails or misses.  Inflicts regular damage.	|	250	|	100	|	5	|	1
154	|	Fury-Swipes	|	Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.	|	18	|	80	|	15	|	1
155	|	Bonemerang	|	Inflicts regular damage.  Hits twice in one turn.	|	50	|	90	|	10	|	5
156	|	Rest	|	User falls to sleep and immediately regains all its HP.  If the user has another major status effect, sleep will replace it.  The user will always wake up after two turns, or one turn with early bird.  This move fails if the Pokémon cannot fall asleep due to uproar, insomnia, or vital spirit.  It also fails if the Pokémon is at full health or is already asleep.	|		|		|	5	|	14
157	|	Rock-Slide	|	Inflicts regular damage.  Has a 30% chance to make the target flinch.	|	75	|	90	|	10	|	6
158	|	Hyper-Fang	|	Inflicts regular damage.  Has a 10% chance to make the target flinch.	|	80	|	90	|	15	|	1
159	|	Sharpen	|	Raises the user's Attack by one stage.	|		|		|	30	|	1
160	|	Conversion	|	User's type changes to the type of one of its moves, selected at random.  hidden power and weather ball are treated as normal.  Only moves with a different type are eligible, and curse is never eligible.  If the user has no suitable moves, this move will fail.	|		|		|	30	|	1
161	|	Tri-Attack	|	Inflicts regular damage.  Has a 20% chance to burn, freeze, or paralyze the target.  One of these effects is selected at random; they do not each have independent chances to occur.	|	80	|	100	|	10	|	1
162	|	Super-Fang	|	Inflicts typeless damage equal to half the target's remaining HP.	|		|	90	|	10	|	1
163	|	Slash	|	Inflicts regular damage.  User's critical hit rate is one level higher when using this move.	|	70	|	100	|	20	|	1
164	|	Substitute	|	Transfers 1/4 the user's max HP into a doll that absorbs damage and causes most negative move effects to fail.  If the user leaves the field, the doll will vanish.  If the user cannot pay the HP cost, this move will fail.  The doll takes damage as normal, using the user's stats and types, and will break when its HP reaches zero.  Self-inflicted damage from confusion or recoil is not absorbed.  Healing effects from opponents ignore the doll and heal the user as normal.  Moves that work based on the user's HP still do so; the doll's HP does not influence any move.  The doll will block major status effects, confusion, and flinching.  The effects of smelling salts and wake up slap do not trigger against a doll, even if the Pokémon behind the doll has the appropriate major status effect.  Multi-turn trapping moves like wrap will hit the doll for their regular damage, but the multi-turn trapping and damage effects will not activate.  Moves blocked or damage absorbed by the doll do not count as hitting the user or inflicting damage for any effects that respond to such, e.g., avalanche, counter, or a rowap berry.  magic coat still works as normal, even against moves the doll would block.  Opposing Pokémon that damage the doll with a leech move like absorb are healed as normal.  It will also block acupressure, block, the curse effect of curse, dream eater, embargo, flatter, gastro acid, grudge, heal block, leech seed, lock on, mean look, mimic, mind reader, nightmare, pain split, psycho shift, spider web, sketch, swagger, switcheroo, trick, worry seed, and yawn.  A Pokémon affected by yawn before summoning the doll will still fall to sleep.  The doll blocks intimidate, but all other abilities act as though the doll did not exist.  If the user has an ability that absorbs moves of a certain type for HP (such as volt absorb absorbing thunder wave), such moves will not be blocked.  life orb and berries that cause confusion still work as normal, but their respective HP loss and confusion are absorbed/blocked by the doll.  The user is still vulnerable to damage inflicted when entering or leaving the field, such as by pursuit or spikes; however, the doll will block the poison effect of toxic spikes.  The doll is passed on by baton pass.  It keeps its existing HP, but uses the replacement Pokémon's stats and types for damage calculation.  All other effects work as normal.	|		|		|	10	|	1
165	|	Struggle	|	Inflicts typeless regular damage.  User takes 1/4 its max HP in recoil.  Ignores accuracy and evasion modifiers.  This move is used automatically when a Pokémon cannot use any other move legally, e.g., due to having no PP remaining or being under the effect of both encore and torment at the same time.  This move's recoil is not treated as recoil for the purposes of anything that affects recoil, such as the ability rock head.  It also is not prevented by magic guard.  This move cannot be copied by mimic, mirror move, or sketch, nor selected by assist or metronome, nor forced by encore.	|	50	|		|	1	|	1
166	|	Sketch	|	Permanently replaces itself with the target's last used move.  If that move is chatter or struggle, this move will fail.  This move cannot be copied by mimic or mirror move, nor selected by assist or metronome, nor forced by encore.	|		|		|	1	|	1
