DexId	|	Name	|	Height	|	Weight	|	Catch_rate	|	Growth_rate	|	Gender_rate	|	Is_baby	|	Is_legendary	|	Is_mythic	|	HP	|	Atk	|	Def	|	SpAtk	|	SpDef	|	Spd	|	ImageId	|	PreviousStageId
97	|	Hypno	|	16	|	756	|	75	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	85	|	73	|	70	|	73	|	115	|	67	|	97	|	96
98	|	Krabby	|	4	|	65	|	225	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	30	|	105	|	90	|	25	|	25	|	50	|	98	|	
99	|	Kingler	|	13	|	600	|	60	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	55	|	130	|	115	|	50	|	50	|	75	|	99	|	98
100	|	Voltorb	|	5	|	104	|	190	|	medium	|	-1	|	FALSE	|	FALSE	|	FALSE	|	40	|	30	|	50	|	55	|	55	|	100	|	100	|	
101	|	Electrode	|	12	|	666	|	60	|	medium	|	-1	|	FALSE	|	FALSE	|	FALSE	|	60	|	50	|	70	|	80	|	80	|	150	|	101	|	100
102	|	Exeggcute	|	4	|	25	|	90	|	slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	60	|	40	|	80	|	60	|	45	|	40	|	102	|	
103	|	Exeggutor	|	20	|	1200	|	45	|	slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	95	|	95	|	85	|	125	|	75	|	55	|	103	|	102
104	|	Cubone	|	4	|	65	|	190	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	50	|	50	|	95	|	40	|	50	|	35	|	104	|	
105	|	Marowak	|	10	|	450	|	75	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	60	|	80	|	110	|	50	|	80	|	45	|	105	|	104
106	|	Hitmonlee	|	15	|	498	|	45	|	medium	|	0	|	FALSE	|	FALSE	|	FALSE	|	50	|	120	|	53	|	35	|	110	|	87	|	106	|	236
107	|	Hitmonchan	|	14	|	502	|	45	|	medium	|	0	|	FALSE	|	FALSE	|	FALSE	|	50	|	105	|	79	|	35	|	110	|	76	|	107	|	236
108	|	Lickitung	|	12	|	655	|	45	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	90	|	55	|	75	|	60	|	75	|	30	|	108	|	
109	|	Koffing	|	6	|	10	|	190	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	40	|	65	|	95	|	60	|	45	|	35	|	109	|	
110	|	Weezing	|	12	|	95	|	60	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	65	|	90	|	120	|	85	|	70	|	60	|	110	|	109
111	|	Rhyhorn	|	10	|	1150	|	120	|	slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	80	|	85	|	95	|	30	|	30	|	25	|	111	|	
112	|	Rhydon	|	19	|	1200	|	60	|	slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	105	|	130	|	120	|	45	|	45	|	40	|	112	|	111
113	|	Chansey	|	11	|	346	|	30	|	fast	|	8	|	FALSE	|	FALSE	|	FALSE	|	250	|	5	|	5	|	35	|	105	|	50	|	113	|	440
114	|	Tangela	|	10	|	350	|	45	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	65	|	55	|	115	|	100	|	40	|	60	|	114	|	
115	|	Kangaskhan	|	22	|	800	|	45	|	medium	|	8	|	FALSE	|	FALSE	|	FALSE	|	105	|	95	|	80	|	40	|	80	|	90	|	115	|	
116	|	Horsea	|	4	|	80	|	225	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	30	|	40	|	70	|	70	|	25	|	60	|	116	|	
117	|	Seadra	|	12	|	250	|	75	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	55	|	65	|	95	|	95	|	45	|	85	|	117	|	116
118	|	Goldeen	|	6	|	150	|	225	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	45	|	67	|	60	|	35	|	50	|	63	|	118	|	
119	|	Seaking	|	13	|	390	|	60	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	80	|	92	|	65	|	65	|	80	|	68	|	119	|	118
120	|	Staryu	|	8	|	345	|	225	|	slow	|	-1	|	FALSE	|	FALSE	|	FALSE	|	30	|	45	|	55	|	70	|	55	|	85	|	120	|	
121	|	Starmie	|	11	|	800	|	60	|	slow	|	-1	|	FALSE	|	FALSE	|	FALSE	|	60	|	75	|	85	|	100	|	85	|	115	|	121	|	120
122	|	Mr-Mime	|	13	|	545	|	45	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	40	|	45	|	65	|	100	|	120	|	90	|	122	|	439
123	|	Scyther	|	15	|	560	|	45	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	70	|	110	|	80	|	55	|	80	|	105	|	123	|	
124	|	Jynx	|	14	|	406	|	45	|	medium	|	8	|	FALSE	|	FALSE	|	FALSE	|	65	|	50	|	35	|	115	|	95	|	95	|	124	|	238
125	|	Electabuzz	|	11	|	300	|	45	|	medium	|	2	|	FALSE	|	FALSE	|	FALSE	|	65	|	83	|	57	|	95	|	85	|	105	|	125	|	239
126	|	Magmar	|	13	|	445	|	45	|	medium	|	2	|	FALSE	|	FALSE	|	FALSE	|	65	|	95	|	57	|	100	|	85	|	93	|	126	|	240
127	|	Pinsir	|	15	|	550	|	45	|	slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	65	|	125	|	100	|	55	|	70	|	85	|	127	|	
128	|	Tauros	|	14	|	884	|	45	|	slow	|	0	|	FALSE	|	FALSE	|	FALSE	|	75	|	100	|	95	|	40	|	70	|	110	|	128	|	
129	|	Magikarp	|	9	|	100	|	255	|	slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	20	|	10	|	55	|	15	|	20	|	80	|	129	|	
130	|	Gyarados	|	65	|	2350	|	45	|	slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	95	|	125	|	79	|	60	|	100	|	81	|	130	|	129
131	|	Lapras	|	25	|	2200	|	45	|	slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	130	|	85	|	80	|	85	|	95	|	60	|	131	|	
132	|	Ditto	|	3	|	40	|	35	|	medium	|	-1	|	FALSE	|	FALSE	|	FALSE	|	48	|	48	|	48	|	48	|	48	|	48	|	132	|	
133	|	Eevee	|	3	|	65	|	45	|	medium	|	1	|	FALSE	|	FALSE	|	FALSE	|	55	|	55	|	50	|	45	|	65	|	55	|	133	|	
134	|	Vaporeon	|	10	|	290	|	45	|	medium	|	1	|	FALSE	|	FALSE	|	FALSE	|	130	|	65	|	60	|	110	|	95	|	65	|	134	|	133
135	|	Jolteon	|	8	|	245	|	45	|	medium	|	1	|	FALSE	|	FALSE	|	FALSE	|	65	|	65	|	60	|	110	|	95	|	130	|	135	|	133
136	|	Flareon	|	9	|	250	|	45	|	medium	|	1	|	FALSE	|	FALSE	|	FALSE	|	65	|	130	|	60	|	95	|	110	|	65	|	136	|	133
137	|	Porygon	|	8	|	365	|	45	|	medium	|	-1	|	FALSE	|	FALSE	|	FALSE	|	65	|	60	|	70	|	85	|	75	|	40	|	137	|	
138	|	Omanyte	|	4	|	75	|	45	|	medium	|	1	|	FALSE	|	FALSE	|	FALSE	|	35	|	40	|	100	|	90	|	55	|	35	|	138	|	
139	|	Omastar	|	10	|	350	|	45	|	medium	|	1	|	FALSE	|	FALSE	|	FALSE	|	70	|	60	|	125	|	115	|	70	|	55	|	139	|	138
140	|	Kabuto	|	5	|	115	|	45	|	medium	|	1	|	FALSE	|	FALSE	|	FALSE	|	30	|	80	|	90	|	55	|	45	|	55	|	140	|	
141	|	Kabutops	|	13	|	405	|	45	|	medium	|	1	|	FALSE	|	FALSE	|	FALSE	|	60	|	115	|	105	|	65	|	70	|	80	|	141	|	140
142	|	Aerodactyl	|	18	|	590	|	45	|	slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	80	|	105	|	65	|	60	|	75	|	130	|	142	|	
143	|	Snorlax	|	21	|	4600	|	25	|	slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	160	|	110	|	65	|	65	|	110	|	30	|	143	|	446
144	|	Articuno	|	17	|	554	|	3	|	slow	|	-1	|	FALSE	|	TRUE	|	FALSE	|	90	|	85	|	100	|	95	|	125	|	85	|	144	|	
145	|	Zapdos	|	16	|	526	|	3	|	slow	|	-1	|	FALSE	|	TRUE	|	FALSE	|	90	|	90	|	85	|	125	|	90	|	100	|	145	|	
146	|	Moltres	|	20	|	600	|	3	|	slow	|	-1	|	FALSE	|	TRUE	|	FALSE	|	90	|	100	|	90	|	125	|	85	|	90	|	146	|	
147	|	Dratini	|	18	|	33	|	45	|	slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	41	|	64	|	45	|	50	|	50	|	50	|	147	|	
148	|	Dragonair	|	40	|	165	|	45	|	slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	61	|	84	|	65	|	70	|	70	|	70	|	148	|	147
149	|	Dragonite	|	22	|	2100	|	45	|	slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	91	|	134	|	95	|	100	|	100	|	80	|	149	|	148
150	|	Mewtwo	|	20	|	1220	|	3	|	slow	|	-1	|	FALSE	|	TRUE	|	FALSE	|	106	|	110	|	90	|	154	|	90	|	130	|	150	|	
151	|	Mew	|	4	|	40	|	45	|	medium-slow	|	-1	|	FALSE	|	FALSE	|	TRUE	|	100	|	100	|	100	|	100	|	100	|	100	|	151	|	
152	|	Chikorita	|	9	|	64	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	45	|	49	|	65	|	49	|	65	|	45	|	152	|	
153	|	Bayleef	|	12	|	158	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	60	|	62	|	80	|	63	|	80	|	60	|	153	|	152
154	|	Meganium	|	18	|	1005	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	80	|	82	|	100	|	83	|	100	|	80	|	154	|	153
155	|	Cyndaquil	|	5	|	79	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	39	|	52	|	43	|	60	|	50	|	65	|	155	|	
156	|	Quilava	|	9	|	190	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	58	|	64	|	58	|	80	|	65	|	80	|	156	|	155
157	|	Typhlosion	|	17	|	795	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	78	|	84	|	78	|	109	|	85	|	100	|	157	|	156
158	|	Totodile	|	6	|	95	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	50	|	65	|	64	|	44	|	48	|	43	|	158	|	
159	|	Croconaw	|	11	|	250	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	65	|	80	|	80	|	59	|	63	|	58	|	159	|	158
160	|	Feraligatr	|	23	|	888	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	85	|	105	|	100	|	79	|	83	|	78	|	160	|	159
161	|	Sentret	|	8	|	60	|	255	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	35	|	46	|	34	|	35	|	45	|	20	|	161	|	
162	|	Furret	|	18	|	325	|	90	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	85	|	76	|	64	|	45	|	55	|	90	|	162	|	161
