Id	|	Official	|	Official_s	|	Sprite	|	Sprite_s	|	Animated	|	Animated_s
14	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/14.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/14.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/14.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/14.gif
15	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/15.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/15.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/15.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/15.gif
16	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/16.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/16.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/16.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/16.gif
17	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/17.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/17.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/17.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/17.gif
18	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/18.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/18.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/18.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/18.gif
19	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/19.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/19.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/19.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/19.gif
20	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/20.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/20.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/20.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/20.gif
21	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/21.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/21.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/21.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/21.gif
22	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/22.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/22.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/22.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/22.gif
23	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/23.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/23.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/23.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/23.gif
24	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/24.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/24.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/24.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/24.gif
25	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/25.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/25.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/25.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/25.gif
26	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/26.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/26.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/26.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/26.gif
27	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/27.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/27.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/27.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/27.gif
28	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/28.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/28.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/28.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/28.gif
29	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/29.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/29.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/29.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/29.gif
30	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/30.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/30.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/30.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/30.gif
31	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/31.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/31.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/31.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/31.gif
32	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/32.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/32.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/32.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/32.gif
33	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/33.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/33.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/33.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/33.gif
34	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/34.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/34.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/34.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/34.gif
35	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/35.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/35.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/35.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/35.gif
36	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/36.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/36.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/36.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/36.gif
37	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/37.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/37.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/37.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/37.gif
38	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/38.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/38.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/38.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/38.gif
39	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/39.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/39.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/39.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/39.gif
40	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/40.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/40.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/40.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/40.gif
41	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/41.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/41.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/41.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/41.gif
42	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/42.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/42.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/42.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/42.gif
43	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/43.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/43.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/43.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/43.gif
44	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/44.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/44.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/44.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/44.gif
45	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/45.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/45.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/45.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/45.gif
46	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/46.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/46.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/46.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/46.gif
